country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Canada,7713000,15393000,19691008,16349000,17674000,22516832,16136911,17689040,18267712,9024254,14412287,14513966,16159170,13303500,17080608,23587200,19858208,21136800,17196000,19292000,24802000,26715008,26465008,21187904,24252000,31378000,25945000,15913000,24796208,32098000,31945600,29877200,27255900,22919500,24989400,29801400,24299400,24082300,26959900,26535500,20630200,15961300,23048600,24795500,25748100,25265400,20090400,28619200,26949900,23299600,25288000,27246000,37589100,29442100,27647400,32139900,30377235,32351900,32669800,35437200,22296100
Chad,1500,1400,2700,2700,3500,5200,8000,5500,7700,6900,6500,8210,7000,7200,5000,6000,4000,5000,6000,6000,5600,4900,10000,1248,5300,640,1071,2450,450,2100,3421,2400,2006,2932,2642,2650,3600,4749,3585,2688,2800,4000,2890,0,3603,1865,8393,8100,5000,1698,1723,8750,1757,809,965,1742,1870,1798.02,1613,1815,1539.53
Chile,1030560,969750,1135610,1158880,1115834,1346410,1203500,1219700,1214200,1306900,1367900,1195135,746684,939050,1003070,866470,1219320,892620,995140,966000,685970,650000,585950,988280,1164690,1625809,1874117,1734199,1765525,1718214,1588677,1556588,1323600,1271200,1383861,1227148,1676887,1682040,1196626,1492710,1780160,1820387,1797080,1921652,1851940,1403689,1095872,1237691,1145290,1523921.2,1575822,1213101,1474663,1358128,1482310.1,1731935,1349491.9,1469003.4,1399919,1230988,1353607.94
China,14250000,16665000,18475008,20840000,25220000,25280000,28485008,27455008,27285008,29185008,32575008,35985008,35225008,40865008,45310000,50385008,41075008,53840000,62730000,55210000,59640000,68470000,81390000,87815008,85805008,90040000,85900000,85430000,90807008,98229008,95950000,101587008,106390000,99297000,102207000,110569000,123290000,109726000,113880000,99636000,93873000,90290000,86488000,91952000,97445000,108466000,109298000,112464000,115115000,115181000,117410000,121023200,121926400,126208400,132639000,133271000,134241300,131440500,133596300,134250000,136946000
"China, Taiwan Province of",44248,42100,18739,19709,23492,28507,23864,17118,9950,3664,2346,1546,921,738,3042,1224,1287,2395,2521,2839,2710,2314,1570,2360,2125,3693,4702,2957,3039,2932,3581,4326,4921,4440,4429,193,85,66,88,127,234,262,264,238,196,271,296,292,364,5178,4034,6859,4127,6811,7335,3638,5379,6096,4831,6000,6000
Colombia,142100,162000,90000,85000,110000,125000,80000,105000,88700,53700,53200,69200,72400,58800,38900,45300,29400,37700,41970,45690,62300,70700,77800,59300,76100,81700,74200,62500,79700,104800,93900,75219,96303,105183,74126,64623,50181,39064,40008,37085,31793,40795,46571,43471,43963,26399,36778,39191,24349,15147,12754,8990,8345.66,6488.09,9890.5,13550.27,5478.61,6399.28,5684.02,6295,6965
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658019,886921,750330,876507,741235,833508,1020450,558217,865260,811674,822650,506212,801424,601748,804601,812347,858333,936076,681017,782499,999681,998940,648917,758638,969050,687595,753060,803270,867530,986930
Cyprus,45720,66040,64008,45720,91440,55880,96520,66040,81280,43180,96520,81280,4064,96520,32512,34544,23368,20320,13208,13208,10668,10160,9100,9000,9000,6500,13500,13000,8000,10400,5600,10500,11700,8000,11000,13000,11500,11500,14000,10000,10500,12900,14280,9930,9249,7518,10712,2472,14690,18889,23740,22923,15181,4445,35356,6902,16592,15330,29470,32270,25580
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304271,3713476,3822769,3727203,3640269,3844741,4028271,4084107,4476080,3866473,2637891,5042523,4145039,3506252,3938924,4631502,4358073,4161553,4913048,3518896,4700696,5442349,5274272,5454663,4718205.16,4417840,4812160,4902410,4960930
Czechoslovakia,1666390,1643800,1765620,1828890,1991870,2247400,2515790,3153160,3256650,3173936,3878116,4016814,4645797,5059080,4202464,4806956,5213632,5600588,3736134,5386000,4324783,4606334,5819981,6170309,6023006,5305006,6154228,6547075,6356066,6706872,6205388,5110300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
